Cluster	Genes
Cluster 196	"MAL13P1.165, MAL13P1.194, MAL13P1.217, MAL13P1.227, MAL13P1.244, MAL13P1.324, MAL13P1.96, MAL6P1.125, MAL6P1.196, MAL6P1.291, MAL6P1.56, MAL7P1.82, MAL8P1.33, PF08_0045, PF10_0276, PF10_0332, PF10_0335, PF10_0339, PF11_0097, PF11_0176, PF11_0386, PF11_0482, PF11_0484, PF13_0176, PF14_0132, PF14_0178, PF14_0286, PF14_0630, PF14_0664, PF14_0717, PFA0370W, PFB0835C, PFC0310C, PFE0090W, PFE0960W, PFI0660C, PFI1360C, PFI1655C, PFL0110C, PFL0170W, PFL0535C, PFL0540W, PFL0580W, PFL0685W, PFL1180W, PFL1755W, PFL2000W, PFL2315C, PFL2330W"
Cluster 197	"MAL13P1.190, MAL8P1.142, MAL8P1.17, PF08_0109, PF10_0081, PF10_0203, PF11_0098, PF13_0033, PF13_0062, PF13_0272, PF14_0323, PF14_0543, PF14_0632, PFB0260W, PFD0810W, PFE0285C, PFE0625W, PFI0630W, PFI0875W, PFI1325W, PFL1005C, PFL2345C"
Cluster 198	"PF11_0412, PF13_0156, PF13_0280, PFC0745C, PFE0915C, PFF0420C, PFF0965C, PFI0525W, PFI1545C"
Cluster 199	"MAL8P1.29, PF11_0213, PF11_0214, PF11_0324, PF13_0050, PF14_0032, PF14_0396, PF14_0400, PF14_0551, PFA0280W, PFC0570C, PFC0701W, PFE0155W, PFE1300W, PFI1355W, PFL1430C, PFL2250C"
Cluster 200	"MAL13P1.175, PF08_0057, PF10_0226, PF13_0202, PFF1377W"
Cluster 201	"PF10_0236, PF11_0530, PF14_0695, PF14_0815, PFC0705C"
Cluster 202	"MAL8P1.38, PF08_0090, PF10_0083, PF10_0137, PF10_0216, PF10_0364, PF11_0196, PF13_0081, PF13_0250, PF14_0165, PF14_0168, PF14_0284, PF14_0702, PFA0200W, PFB0325C, PFB0954C, PFC0831W, PFD0700C, PFD0820W, PFE0328W, PFE0510C, PFE0780W, PFE0950C, PFE1095W, PFE1420W, PFI0140W, PFI0520W, PFI0900W, PFI1225W, PFI1540W, PFL0765W, PFL0957W, PFL1695C, PFL2255W"
Cluster 203	"MAL6P1.175, MAL6P1.242, MAL6P1.55, MAL6P1.84, MAL7P1.99, MAL8P1.61, PF11_0146, PF11_0223, PF11_0420, PF11_0424, PF11_0468, PF11_0488, PF13_0189, PF13_0246, PF13_0291, PF13_0320, PF14_0031, PF14_0177, PF14_0184, PFA0340W, PFB0140W, PFB0590W, PFB0720C, PFB0790C, PFC0220W, PFC0860W, PFD0935C, PFE0240W, PFE0930W, PFI0390C, PFI0735C, PFI0855W, PFI1615W, PFL1050W, PFL1330C"
Cluster 204	"MAL13P1.111, MAL7P1.207, MAL7P1.78, PF07_0040, PF10_0133, PF11_0066, PF14_0531, PFB0170W, PFI0160W, PFI0890C, PFI1295C"
Cluster 205	"MAL8P1.138, ORF79, PF14_0618, PFA0485W, PFD0420C, PFD0675W, PFD1075W, PFE0470W, PFI1710W, PFL0975W, PFL1780W, PFL2570W, RPS17"
Cluster 206	"PF11_0367, PF11_0407, PF13_0302, PF14_0539, PFC0195W, PFD0560W, PFE0260W, PFE0760W, PFF0555W, PFF1305W, PFF1390W, PFI0245C"
Cluster 207	"MAL13P1.197, MAL13P1.66, MAL6P1.165, MAL6P1.225, PF07_0013, PF08_0050, PF10_0134, PF14_0034, PF14_0066, PF14_0339, PFC0580C, PFD0425W, PFL0995C, PFL1065C, PFL2155W"
Cluster 208	"PF11_0073, PF11_0332, PF13_0024, PF14_0444, PFC0385C, PFC0555C, PFE0705C, PFE0795C, PFE1225W, PFF0655C, PFF0715C, PFF0805C, PFF1365C, PFI1470C, PFL0165C, PFL0745C, PFL1300C, PFL2160C, PFL2165W"
Cluster 209	"MAL6P1.30, MAL6P1.59, MAL8P1.60, PF07_0014, PF11_0240, PF11_0476, PF13_0085, PF13_0332, PF14_0313, PF14_0537, PF14_0588, PF14_0725, PFC0650W, PFE0210C, PFE1145W, PFI0210C, PFL1265C"
Cluster 210	"MAL13P1.18, MAL13P1.230, MAL8P1.137, MAL8P1.149, PF08_0066, PF08_0088, PF11_0147, PF11_0157, PF13_0193, PF14_0030, PF14_0093, PFA0380W, PFB0400W, PFC0215C, PFD0695W, PFE0565W, PFF0475W, PFI1080W, PFI1305W, PFL0195W, PFL0850W"
Cluster 211	"MAL13P1.135, MAL7P1.108, MAL7P1.109, PF11_0377, PF13_0019, PF14_0738, PFE0425W, PFI0345W, PFI0885W"
Cluster 212	"MAL13P1.103, MAL13P1.121, MAL13P1.167, MAL13P1.193, MAL6P1.112, MAL6P1.176, MAL6P1.238, MAL6P1.268, MAL6P1.271, MAL6P1.38, MAL6P1.57, MAL7P1.155, PF07_0023, PF07_0032, PF07_0035, PF07_0061, PF07_0065, PF08_0126, PF10_0084, PF10_0151, PF10_0191, PF11_0141, PF11_0172, PF11_0227, PF13_0095, PF13_0164, PF13_0251, PF13_0328, PF14_0089, PF14_0138, PF14_0248, PF14_0352, PF14_0445, PF14_0488, PF14_0577, PF14_0675, PFA0225W, PFA0320W, PFB0795W, PFC0250C, PFC0275W, PFC0325C, PFC0435W, PFC0510W, PFC0581W, PFC0710W, PFD0170C, PFD0595W, PFD0795W, PFE0145W, PFE0840C, PFE1345C, PFI0215C, PFI0465C, PFI1665W, PFL0080C, PFL0150W, PFL0630W, PFL1370W, PFL1685W, PFL1900W, RPL4"
Cluster 213	"MAL13P1.100, MAL13P1.29, MAL7P1.153, MAL7P1.203, MAL7P1.73, MAL8P1.112, MAL8P1.22, MAL8P1.56, PF07_0078, PF07_0108, PF07_0118, PF10_0147, PF10_0237, PF10_0360, PF11_0064, PF11_0131, PF11_0229, PF11_0315, PF11_0342, PF13_0028, PF13_0187, PF13_0308, PF13_0336, PF14_0105, PF14_0216, PF14_0245, PF14_0319, PF14_0366, PF14_0369, PF14_0435, PF14_0498, PF14_0580, PF14_0591, PF14_0653, PF14_0667, PFA0305C, PFC0160W, PFC0620W, PFC0625W, PFD0415C, PFD0585C, PFD0760C, PFD0790C, PFE0235C, PFE0415W, PFE0450W, PFE0495W, PFE0895C, PFE1125W, PFE1485W, PFF0170W, PFF0200C, PFF0955C, PFF0985C, PFF1475C, PFI0180W, PFI0230C, PFI0240C, PFI0530C, PFI0800C, PFI1010W, PFL1285C, PFL1305C"
Cluster 214	"PF10_0127, PF10_0129, PF10_0212, PF10_0307, PF11_0322, PF14_0363, PF14_0402, PFC0730W, PFC0910W, PFE1610W, PFL0270C"
Cluster 215	"MAL13P1.147, MAL6P1.194, MAL8P1.59, PF07_0025, PF11_0486, PF13_0084, PF13_0355, PF14_0404, PF14_0624, PFA0585W, PFA0625W, PFD0260C, PFD0855C, PFL0345W"
Cluster 216	"MAL13P1.123, MAL13P1.124, MAL13P1.128, MAL13P1.140, MAL13P1.235, MAL13P1.285, MAL13P1.30, MAL13P1.42, MAL6P1.106, MAL6P1.260, MAL6P1.285, MAL6P1.58, MAL6P1.79, MAL7P1.102, MAL7P1.115, MAL8P1.145, MAL8P1.27, PF07_0105, PF08_0009, PF08_0014, PF08_0064, PF10_0080, PF10_0140, PF10_0312, PF11_0177, PF11_0261, PF11_0286, PF11_0448, PF13_0025, PF13_0148, PF13_0155, PF13_0188, PF13_0223, PF13_0353, PF14_0258, PF14_0351, PF14_0427, PF14_0463, PF14_0492, PF14_0533, PF14_0558, PFA0345W, PFB0510W, PFB0755W, PFC0315C, PFC0500W, PFC0960C, PFD0590C, PFE1173C, PFF0230C, PFF0255C, PFF0265C, PFF0785W, PFF0915W, PFF1120C, PFF1220W, PFF1280W, PFF1470C, PFI0565W, PFI0665W, PFI1240C, PFI1575C, PFL0085C, PFL0200C, PFL0235W, PFL0265W, PFL0560C, PFL1010C, PFL2300W, PFL2370C, PFL2375C"
Cluster 217	"MAL13P1.249, PF10_0117, PF10_0311, PF13_0063, PF13_0174, PF14_0552, PFF1440W"
Cluster 218	"MAL13P1.126, MAL13P1.205, MAL13P1.226, MAL6P1.164, MAL6P1.184, MAL8P1.101, MAL8P1.79, MAL8P1.82, MAL8P1.96, ORF129, PF07_0038, PF08_0021, PF08_0022, PF10_0050, PF10_0060, PF10_0188, PF10_0228, PF10_0282, PF10_0337, PF11_0114, PF11_0217, PF11_0236, PF11_0298, PF11_0321, PF13_0070, PF13_0145, PF14_0090, PF14_0133, PF14_0215, PF14_0233, PF14_0288, PF14_0295, PF14_0357, PF14_0405, PF14_0506, PFA0690W, PFB0220W, PFB0750W, PFC0320W, PFC0515C, PFC0720W, PFC1005C, PFD0330W, PFD1085W, PFE1135W, PFE1165C, PFI0770C, PFI1255W, PFL0375W, PFL0505C, PFL0725W, PFL1550W, RPL23, RPL36, RPS11, RPS12, RPS3, RPS4, RPS5, RPS7"
Cluster 219	"PF10_0177B, PF11_0347, PF13_0064, PF14_0144, PFC0235W, PFC0760C, PFC0965W, PFF0930W, PFF1240W, PFL0130C"
Cluster 220	"MAL6P1.264, PF07_0017, PFF0940C, PFI1680W, PFL1395C"
Cluster 221	"MAL13P1.125, MAL8P1.7, PF10_0249, PF10_0251, PF10_0290, PF14_0134, PF14_0504, PFD0375W, PFD0993C, PFF0705C, PFI1463W"
Cluster 222	"MAL8P1.143, PF10_0082, PF11_0249, PF13_0258, PF14_0361, PFC0455W, PFD0445C, PFI0710C, PFL1930W, RPL2"
Cluster 223	"MAL8P1.54, PF10_0330, PF11_0251, PF14_0671, PFI1320C"
Cluster 224	"MAL7P1.132, MAL8P1.203, MAL8P1.84, PF07_0016, PF08_0094, PF10_0020, PF10_0120, PF10_0192, PF10_0336, PF13_0338, PF14_0375, PF14_0500, PF14_0617, PFA0285C, PFA0290W, PFB0330C, PFD0660W, PFE0240C, PFF0645C, PFF0680C, PFF0720W, PFF0875W, PFI0950W, PFI1205C"
Cluster 225	"PF08_0134, PF10_0207, PF10_0222, PF13_0260, PF14_0148, PFB0161C, PFC0262C, PFD1045W, PFF0585C, PFF0600W, PFI0535W"
Cluster 226	"MAL13P1.157, MAL13P1.173, MAL7P1.92, PF08_0062, PF14_0062, PF14_0692, PFA0035C, PFD0200C, PFE1180C, PFF1195C"
Cluster 227	"PF11_0164, PF11_0190, PF11_0314, PF11_0370, PF11_0461, PF14_0453, PFC0145C, PFD0300W, PFF0573C, PFI0355C, PFI0375W, PFI0385C, PFI0730W, PFI1370C, PFI1530C, PFL1295W, PFL2140C"
Cluster 228	"MAL13P1.17, PF13_0303, PF14_0395, PF14_0409, PFE1170W, PFE1355C"
Cluster 229	"MAL13P1.169, PF07_0024, PF07_0056, PF13_0041, PF14_0615, PF14_0691, PFD0400W, PFE0835W, PFI0336W, PFI1180W, PFI1200W"
Cluster 230	"MAL13P1.259, MAL6P1.92, MAL7P1.21, PF10_0049, PF13_0277, PFA0155C, PFD0610W, PFD0710W, PFE0205W, PFE1305C, PFF1160W, PFL0420W, PFL1625W, PFL2380C"
Cluster 231	"MAL8P1.300, MAL8P1.53, PF10_0048, PF10_0107, PF10_0415, PF11_0300, PF11_0429, PF11_0435, PF13_0216, PF14_0380, PFA0120C, PFA0555C, PFC0755C, PFC0840W, PFD0530C, PFE1465W, PFF0895W, PFF1205W, PFI0725C, PFL1335W, PFL1440C"
Cluster 232	"MAL13P1.252, MAL7P1.206, MAL8P1.45, MAL8P1.46, PF10_0172, PF10_0181, PF13_0103, PF14_0121, PFC0880C, PFD0403W, PFE0860C, PFE0880C, PFF0350W, PFI1690C"
Cluster 233	"MAL13P1.182, PF10_0205, PF11_0140, PFA0415C, PFC10_API0029, PFC10_API0059, PFF0285C"
Cluster 234	"MAL8P1.66, PF08_0007, PF08_0058, PF10_0034, PF10_0071, PF10_0247, PF10_0357, PF11_0168, PF13_0067, PFA0325W, PFF0260W, PFF0595C, PFL1320W, PFL2100W"
Cluster 235	"MAL13P1.168, MAL13P1.51, PF10_0218, PF11_0257, PFA0115W, PFC0371W, PFD0465C, PFE0555W, PFF0750W"
Cluster 236	"MAL8P1.81, MALP1.29A, PF10_0097, PF14_0251, PF14_0554, PF14_0555, PF14_0566, PFC0405C, PFI0970C"
Cluster 237	"MAL13P1.139, MAL13P1.141, MAL6P1.248, MAL7P1.167, PF07_0101, PF11_0127, PF11_0443, PF14_0024, PF14_0033, PF14_0142, PF14_0160, PF14_0443, PF14_0548, PF14_0681, PFA0295C, PFB0310C, PFC0475C, PFF0335C, PFF0650W, PFF1180W, PFI1565W, PFL1570W, PFL2280W"
Cluster 238	"MAL13P1.202, PF07_0093, PF10_0168, PF14_0151, PF14_0647, PFD0535W, PFE0435C, PFE0500C, PFL0350C, PFL0465C"
Cluster 239	"MAL13P1.119, MAL13P1.21, MAL13P1.240, MAL13P1.241, MAL7P1.95, MAL8P1.135, PF10_0116, PF10_0186, PF10_0248, PF11_0083, PF11_0158, PF11_0243, PF11_0253, PF13_0114, PF13_0249, PF13_0327, PF13_0329, PF14_0106, PF14_0299, PF14_0373, PF14_0419, PF14_0560, PFC0280C, PFD0190W, PFD0860W, PFE0225W, PFE1315W, PFF0185C, PFF0440W, PFI0395W, PFI0405W, PFI0850W, PFI1580C, PFL0305C, PFL1160C"
Cluster 240	"MAL13P1.129, MAL13P1.191, MAL13P1.195, MAL13P1.220, MAL13P1.223, MAL13P1.68, MAL6P1.195, MAL6P1.89, MAL8P1.16, MAL8P1.6, MAL8P1.78, PF07_0060, PF07_0094, PF08_0023, PF08_0033, PF10_0102, PF10_0273, PF10_0365, PF10_0374, PF10_0407, PF11_0056, PF11_0122, PF11_0195, PF11_0330, PF13_0066, PF13_0144, PF14_0130, PF14_0155, PF14_0265, PF14_0272, PF14_0523, PF14_0672, PF14_0682, PF14_0712, PFA0190C, PFA0360C, PFB0615C, PFC0485W, PFC0680W, PFD1050W, PFE0405C, PFE0725C, PFE0825W, PFE0875C, PFE1540W, PFI0315C, PFI1125C, PFI1290W, PFI1335W, PFL0220C, PFL0365C, PFL0700W, PFL0910C, PFL1850C, PFL2210W"
Cluster 241	"MAL6P1.177, MAL6P1.213, PF08_0015, PF11_0222, PF11_0411, PF11_0480, PF14_0298, PF14_0491, PF14_0516, PFC0176C, PFD0430C, PFE0680W, PFI0185W, PFI1230C, PFI1300C, PFI1455C, PFL1030W, PFL1765C, PFL1910C, PFL2290W"
Cluster 242	"MAL13P1.137, MAL7P1.154A, MAL8P1.134, PF11_0395, PF14_0211, PF14_0303, PFB0435C, PFB0585W, PFB0770C, PFB0845W, PFE0355C, PFE0400W, PFE0910W, PFE1515W, PFI0440W, PFI1340W"
Cluster 243	"MAL6P1.303, MAL6P1.32, MAL8P1.12, PF10_0184, PF10_0255, PF10_0292, PF11_0371, PF11_0417, PF13_0120, PF14_0362, PF14_0408, PF14_0607, PFB0145C, PFB0935W, PFC0615W, PFE1545C, PFF0375C, PFF0615C, PFF0660W, PFL2110C"
Cluster 244	"MAL6P1.228, MAL6P1.229, MAL6P1.41, MAL6P1.44, ORF78, PF07_0021, PF11_0220, PF11_0234, PF11_0235, PF11_0237, PF11_0238, PF11_0304, PF11_0343, PF11_0392, PF13_0092, PF13_0127, PF13_0154, PF14_0311, PF14_0480, PF14_0505, PF14_0583, PFA0205W, PFB0190C, PFB0335C, PFB0360C, PFC0150W, PFC0930C, PFD0870W, PFD0940W, PFE0420C, PFI1730W, PFL1870C, RPL14, RPL16, RPL6, RPS19, RPS8, TUFA"
Cluster 245	"MAL13P1.86, PF13_0040, PF14_0020, PFD0480W, PFD0775C, PFF0425W, PFF1065C, PFL0865W"
Cluster 246	"MAL13P1.297, MAL8P1.151, MAL8P1.201, PF11_0107, PF11_0465, PF14_0246, PFI1485C"
Cluster 247	"PF11_0163, PF11_0167, PF14_0120, PFC10_API0030, PFC10_API0033, PFC10_API0041, PFE1255W, PFF0190C, PFI0575C, PFI1605W"
Cluster 248	"MAL13P1.166, MAL7P1.84, MAL8P1.62, PFI1375W, PFL1890C"
Cluster 249	"PF10_0190, PF10_0376, PF13_0229, PF14_0747, PFA0725W, PFB0650W, PFE0320W, PFL1805C"
Cluster 250	"ORF101, ORF51, PFB0345C, PFB0350C, PFB0355C, PFD0800C"
Cluster 251	"MAL13P1.276, MAL6P1.122, MAL6P1.20, PF10_0056, PF11_0388, PF11_0441, PF14_0220, PF14_0275, PF14_0420, PFC0815C, PFC1040W, PFD1210W"
Cluster 252	"MAL13P1.189, MAL13P1.248, MAL6P1.246, MAL7P1.128, MAL7P1.137, MAL7P1.97, PF10_0196, PF11_0394, PF11_0467, PF14_0158, PF14_0244, PF14_0314, PF14_0421, PFB0515W, PFC0935C, PFD0490C, PFE0650C, PFE0700C, PFE1205C, PFF0215W, PFF0270C, PFL0475W, PFL0720W, PFL1575W"
Cluster 253	"MAL13P1.114, MAL13P1.118, MAL13P1.215, MAL13P1.315, MAL13P1.94, MAL6P1.277, MAL6P1.287, MAL6P1.299, MAL6P1.80, MAL7P1.17, MAL8P1.146, MAL8P1.153, ORF91, PF08_0091, PF10_0189, PF10_0220, PF10_0342, PF11_0354, PF11_0528, PF13_0079, PF14_0171, PF14_0196, PF14_0293, PF14_0302, PF14_0383, PF14_0468, PF14_0556, PF14_0732, PFB0340C, PFC0345W, PFD0295C, PFE0440W, PFE1105C, PFE1120W, PFE1555C, PFI0880C, PFI0975C, PFI1560C, PFL1385C, RPOC"
Cluster 254	"MAL13P1.145, MAL6P1.23, MAL6P1.46, MAL7P1.35, MAL8P1.97, PF07_0074, PF08_0070, PF10_0062, PF10_0224, PF10_0230, PF11_0057, PF11_0410, PF11_0456, PF13_0283, PF14_0035, PF14_0271, PF14_0389, PF14_0634, PF14_0710, PFD0220C, PFE0735W, PFI0445C, PFL1690W, PFL2205W, PFL2285C"
Cluster 255	"PF11_0185, PF11_0338, PF14_0320, PFB0685C, PFD1120C, PFL1750C"
Cluster 256	"MAL13P1.152, MAL13P1.37, MAL8P1.126, MAL8P1.8, MAL8P1.91, PF07_0072, PF10_0193, PF10_0253B, PF10_0308, PF10_0367, PF11_0287, PF13_0185, PF14_0119, PF14_0212, PF14_0234, PF14_0388, PF14_0472, PF14_0774, PFB0315W, PFD0385C, PFE0770W, PFF0310W, PFF0460W, PFF0565C, PFF0710W, PFF0990C, PFF0995C, PFI0360C, PFL0260C, PFL1526C, PFL1990C"
Cluster 257	"MAL7P1.87, PF13_0086, PF13_0266, PF13_0299, PF14_0392, PFI0705W, PFI1210W, PFI1216W, PFL1025C, PFL1495W"
Cluster 258	"MAL13P1.219, MAL8P1.133, PF10_0280, PF11_0470, PF14_0238, PFB0176C, PFC0241W, PFD0205C, PFE1565W, PFF0730C, PFF1495W, PFL2090C"
Cluster 259	"MAL13P1.44, PF11_0160, PF11_0362, PF14_0018, PF14_0143, PFD0930W, PFF0610C, PFL1500W"
Cluster 260	"MAL7P1.3, MAL7P1.64, PF11_0242, PF11_0329, PF14_0107, PFB0805C, PFL1810W"
Cluster 261	"MAL13P1.156, MAL13P1.287, MAL6P1.218, MAL7P1.125, MAL7P1.13, MAL7P1.141, MAL8P1.13, PF08_0035, PF08_0082, PF10_0037, PF10_0254, PF10_0348, PF11_0193, PF11_0194, PF11_0464, PF14_0281, PF14_0333, PF14_0334, PF14_0353, PFA0260C, PFA0440W, PFA0445W, PFE0340C, PFE0395C, PFE0785C, PFF0840W, PFF1020C, PFI0265C, PFI0270W, PFI1445W, PFI1550C, PFI1685W, PFL1105C, PFL1840W, PFL2505C"
Cluster 262	"MAL13P1.106, MAL13P1.211, MAL13P1.224, MAL13P1.309, PF14_0290, PFC0381C, PFD1007W, PFF0735W, PFF1200W, PFI1350C, PFI1380C, PFL1600C"
Cluster 263	"MAL13P1.154, MAL13P1.350, MAL7P1.156, PF00_0002, PF08_0077, PF08_0100, PF10_0101, PF10_0176, PF11_0092, PF11_0325, PF11_0416, PF11_0449, PF13_0104, PF14_0129, PF14_0206, PF14_0213, PF14_0287, PF14_0629, PFB0177C, PFB0225C, PFB0235W, PFB0775W, PFC0795W, PFD0340C, PFI0595C, PFI1095W, PFL0545W, PFL1450C"
Cluster 264	"MAL13P1.174, MAL13P1.348, MAL7P1.65, PF10_0131, PF13_0196, PF14_0149, PFB0732C, PFE0820C, PFF0490W, PFI1715W"
Cluster 265	"MAL13P1.188, MAL13P1.328, MAL6P1.300, PF10_0146, PF10_0306, PF11_0379, PF11_0477, PF13_0072, PF13_0078, PF14_0343, PF14_0693, PFD0255W, PFD0380C, PFD0705C, PFL0315C, PFL0840C"
Cluster 266	"MAL13P1.130, MAL13P1.306, MAL13P1.308, MAL6P1.147, MAL6P1.216, MAL6P1.221, MAL6P1.247, MAL6P1.279, MAL6P1.286, MAL6P1.292, MAL8P1.150, MAL8P1.73, PF07_0019, PF08_0129, PF10_0072, PF10_0094, PF10_0119, PF10_0135, PF10_0138, PF10_0166, PF10_0344, PF10_0347, PF11_0060, PF11_0277, PF11_0278, PF11_0344, PF11_0373, PF13_0057, PF13_0301, PF14_0065, PF14_0091, PF14_0092, PF14_0102, PF14_0325, PF14_0495, PF14_0530, PF14_0652, PFA0265C, PFB0570W, PFB0665W, PFB0680W, PFC0370W, PFC1045C, PFD0230C, PFD0385W, PFD0955W, PFD1110W, PFE0075C, PFE0080C, PFE0370C, PFE1130W, PFI0410C, PFI0785C, PFI0845W, PFI1005W, PFI1555W, PFL0300C, PFL1090W, PFL1435C, PFL1565C, PFL1785C, PFL2460W"
Cluster 267	"PF10_0343, PF11_0016, PF11_0035, PF14_0243B, PFC10_API0017"
Cluster 268	"MAL13P1.158, MAL13P1.390, MAL7P1.20, MAL7P1.205, PF10_0204, PF11_0311, PFF0240C, PFI0545W, PFL1250C, PFL1365W"
Cluster 269	"MAL8P1.122, PF08_0036, PF08_0061, PF08_0113, PFB0760W, PFC10_API0038, PFF0140C, PFF0145W, PFL0885W"
Cluster 270	"MAL7P1.119, MAL7P1.176, MAL7P1.18, MAL7P1.208, MAL8P1.106, PF10_0170, PF10_0177, PF13_0326, PF14_0578, PF14_0660, PFB0765W, PFB0815W, PFD1105W, PFF0355C, PFI0690C, PFI1475W"
Cluster 271	"MAL13P1.163, MAL6P1.155, PF10_0033, PF11_0463, PF14_0567, PFL2060C"
Cluster 272	"MAL13P1.228, MAL13P1.23, MAL13P1.380, MAL13P1.461, MAL13P1.49, MAL8P1.109, PF07_0052, PF07_0127, PF10_0059, PF10_0351, PF10_0368, PF11_0094, PF11_0383, PF11_0415, PF13_0039, PF13_0166, PF13_0173, PF13_0197, PF13_0225, PF13_0255, PF13_0285, PF14_0108, PF14_0172, PF14_0173, PF14_0224, PF14_0346, PF14_0572, PF14_0694, PF14_0781, PF14_0788, PFB0135W, PFB0467W, PFB0670C, PFC10_API0028, PFD0240C, PFE0045C, PFE0200C, PFE0360C, PFF0485C, PFF0683C, PFF1210W, PFF1420W, PFI0100C, PFI0515W, PFL1110C, PFL1515C, PFL1700C, PFL2510W"
Cluster 273	"MAL6P1.62, PF07_0128, PF08_0119, PF10_0262, PFA0210C, PFE0165W, PFL2215W"
Cluster 274	"MAL13P1.405, PF07_0005, PF11_0091, PFB0926C, PFD0495C, PFD0985W, PFL1885C"
Cluster 275	"MAL13P1.109, MAL13P1.260, MAL13P1.278, MAL13P1.38, MAL6P1.127, MAL6P1.65, MAL8P1.70, PF08_0073, PF08_0108, PF10_0039, PF10_0156, PF10_0223, PF10_0281, PF10_0283, PF10_0295, PF10_0346, PF10_0352, PF11_0180, PF11_0267, PF11_0268, PF13_0012, PF13_0058, PF13_0152, PF13_0233, PF14_0044, PF14_0222, PF14_0337, PF14_0527, PFB0275W, PFB0475C, PFC0355C, PFC0830W, PFC0945W, PFD0195C, PFD0720W, PFD0765W, PFD1100C, PFE1285W, PFE1415W, PFI0540W, PFI0675W, PFI0940C, PFI0945W, PFL0245W, PFL0870W, PFL2225W, PFL2410W"
Cluster 276	"MAL13P1.102, MAL6P1.289, PF08_0118, PF11_0290, PF11_0442, PF14_0586, PFC0185W, PFD0185C, PFL1165W"
Cluster 277	"MAL13P1.60, PFA0125C, PFB0305C, PFD0715C, PFD0900W, PFD1130W, PFD1145C, PFD1150C, PFD1155W, PFE0175C, PFE0365C, PFE1410C, PFF0675C, PFI0175W, PFL0470W, PFL1505C, PFL2520W"
Cluster 278	"MAL7P1.29, PF07_0076, PF10_0231, PF11_0462, PF11_0474, PF14_0021, PF14_0235, PFC0820W, PFC0940C, PFD0235C, PFF0975C, PFL0480W, PFL1510C"
Cluster 279	"MAL13P1.331, MAL6P1.145, MAL6P1.178, PF08_0008, PF11_0381, PF13_0161, PF13_0169, PF14_0054, PF14_0135, PF14_0703, PFB0480W, PFC0700C, PFD0100C, PFD0110W, PFE1505W, PFL2085W"
Cluster 280	"MAL7P1.22, PFA0610C, PFD0144C, PFF0290W, PFF1375C, PFL1195W, PFL1340C, PFL2545C"
Cluster 281	"MAL13P1.370, MAL13P1.63, PF13_0153, PFA0395W, PFA0560C, PFA0565C, PFL0925W"
Cluster 282	"MAL6P1.121, MAL6P1.98, PF14_0759, PFE0255W, PFL0650C"
Cluster 283	"MAL7P1.229, PF10_0329, PF11_0283, PF11_0335, PF11_0426, PFA0735W, PFB0625W, PFD1006W, PFE0920C, PFI1675W, PFL0746C"
Cluster 284	"MAL7P1.59, PF07_0002, PF10_0388, PF10_0389, PF11_0026, PFB0980W, PFC1075W, PFF0065C, PFF1520W"
