Cluster	Genes
Cluster 52	"MAL13P1.179, MAL13P1.286, MAL6P1.149, MAL7P1.68, PF08_0040, PF08_0128, PF10_0158, PF11_0144, PF11_0469, PF13_0311, PF14_0059, PF14_0365, PF14_0473, PFA0655W, PFC0441C, PFE0745W, PFE1220W, PFE1530C, PFL0555C, PFL1270W, PFL1815C"
Cluster 53	"MAL13P1.272, MAL6P1.138, MAL6P1.14, MAL6P1.144, MAL6P1.15, MAL6P1.265, MAL8P1.163, PF10_0381, PF10_0382, PF10_0392, PF11_0023, PF11_0472, PF13_0160, PF13_0195, PF13_0319, PF14_0763, PFI1405C, PFL2590W, PFL2650W"
Cluster 54	"MAL7P1.76, MAL8P1.67, PF07_0027, PF10_0067, PF10_0242, PF11_0199, PF11_0259, PF11_0458, PF14_0072, PF14_0450, PF14_0620, PFB0255W, PFB0655C, PFD0245C, PFE0135W, PFE0730C, PFE1425C, PFF0345W, PFI1480W, PFI1696C"
Cluster 55	"MAL13P1.310, MAL6P1.37, MAL8P1.1, MAL8P1.47, MAL8P1.71, PF07_0116, PF10_0287, PF11_0110, PF11_0279, PF11_0401, PF11_0422, PF14_0190, PF14_0637, PF14_0728, PFA0015C, PFA0130C, PFA0665W, PFB0230C, PFC0810C, PFE0900W, PFE1550W, PFE1595C, PFI1145W, PFL0055C, PFL0070C"
Cluster 56	"PF10_0132, PFD0945C, PFF0210W, PFF1040W, PFI0805W"
Cluster 57	"PF11_0109, PF14_0150, PFA0235W, PFC0565W, PFD0355C, PFD0367W, PFL2305W"
Cluster 58	"MAL13P1.275, MAL7P1.204, MAL8P1.114, MAL8P1.202, PF11_0086, PF11_0111, PF11_0212, PF13_0296, PF13_0343, PF13_0347, PF14_0170, PF14_0511, PFE1400C, PFF0125C, PFF0250W, PFF1055C, PFF1350C, PFI1280C, PFI1600W, PFL0405W, PFL0520C"
Cluster 59	"MAL13P1.132, MAL13P1.153, MAL13P1.242, MAL13P1.292, MAL7P1.15, MAL7P1.150, MAL7P1.28, PF08_0016, PF08_0027, PF08_0049, PF08_0123, PF10_0209, PF10_0219, PF10_0278, PF11_0369, PF13_0091, PF13_0119, PF13_0150, PF13_0212, PF13_0270, PF13_0340, PF14_0079, PF14_0197, PF14_0603, PF14_0640, PF14_0661, PF14_0688, PF14_0784, PFB0423C, PFC0075C, PFC0690C, PFC1050W, PFD0150W, PFD0505C, PFD0740W, PFD1070W, PFF0135W, PFI1235W, PFI1400C, PFL0625C, PFL0665C, PFL1485W, PFL1855W, PFL2400W, PFL2475W"
Cluster 60	"MAL13P1.264, MAL13P1.93, MAL6P1.119, MAL6P1.282, MAL6P1.68, MAL7P1.14, MAL8P1.152, PF07_0067, PF07_0092, PF07_0103, PF08_0042, PF08_0065, PF08_0092, PF08_0135, PF10_0054, PF10_0085, PF10_0200, PF10_0266, PF11_0358, PF13_0013, PF13_0035, PF13_0051, PF13_0076, PF13_0109, PF13_0177, PF13_0178, PF13_0286, PF13_0315, PF13_0352, PF14_0055, PF14_0068, PF14_0104, PF14_0113, PF14_0156, PF14_0174, PF14_0214, PF14_0292, PF14_0326, PF14_0360, PF14_0437, PF14_0494, PF14_0559, PF14_0561, PF14_0707, PFB0175C, PFB0630C, PFB0860C, PFC0825C, PFD0510C, PFF0100W, PFF0300W, PFF0535C, PFF1030W, PFF1500C, PFI1435W, PFI1790W, PFL0045C, PFL0075W, PFL0355C, PFL0830W, PFL1345C, PFL2295W, PFL2480W"
Cluster 61	"MAL13P1.170, MAL6P1.170, MAL7P1.36, MAL8P1.3, PF07_0011, PF07_0059, PF07_0071, PF10_0370, PF11_0225, PF11_0265, PF11_0266, PF11_0457, PF13_0023, PF14_0207, PF14_0208, PF14_0481, PFC0430W, PFF0515C, PFI0635C"
Cluster 62	"PF07_0080, PF10_0038, PF11_0364, PF11_0380, PF11_0454, PF13_0045, PF14_0098, PFD0311W, PFE0810C"
Cluster 63	"MAL6P1.166, MAL6P1.173, MAL7P1.151, PF10_0042, PF10_0297, PF10_0369, PFB0395W"
Cluster 64	"MAL6P1.102, MAL6P1.54, PF11_0095, PF13_0210, PF14_0433, PFB0735C, PFL0880C"
Cluster 65	"MAL13P1.203, MAL13P1.410, MAL8P1.48, PF10_0206, PF14_0698, PF14_0754, PFA0100C, PFF1310C, PFF1340W, PFI0255C, PFL1225C"
Cluster 66	"MAL13P1.317, MAL6P1.104, MAL6P1.64, MAL7P1.24, MAL8P1.64, MAL8P1.92, PF07_0097, PF08_0026, PF08_0041, PF08_0121, PF08_0124, PF08_0127, PF10_0179, PF10_0277, PF10_0285, PF10_0314, PF10_0327, PF10_0328, PF10_0361, PF11_0115, PF11_0241, PF11_0375, PF11_0378, PF11_0418, PF13_0158, PF13_0165, PF13_0209, PF13_0263, PF14_0042, PF14_0145, PF14_0185, PF14_0188, PF14_0247, PF14_0401, PF14_0429, PF14_0434, PF14_0608, PF14_0669, PF14_0724, PFA0475C, PFB0440C, PFB0550W, PFC0635C, PFD0160W, PFD0750W, PFD0970C, PFE0300C, PFE0570W, PFE1215C, PFE1320W, PFF0500C, PFF1110C, PFI0170W, PFI0195C, PFI0365W, PFI1215W, PFL0135W, PFL0175C, PFL0785C"
Cluster 67	"MAL13P1.84, MAL7P1.100, MAL8P1.136, PF07_0104, PF08_0122, PF10_0302, PF11_0045, PF11_0294, PF13_0090, PF14_0628, PF14_0805, PFB0150C, PFD0390C, PFE0220W, PFE1290W, PFL0655W, PFL1015W, PFL1675C, PFL2450C"
Cluster 68	"MAL6P1.198, MAL6P1.214, MAL6P1.69, PF07_0121, PF11_0090, PF11_0353, PF13_0219, PF13_0310, PF14_0056, PF14_0327, PF14_0550, PFF0050C, PFF0625W, PFL1800W, PFL1975C, PFL2010C"
Cluster 69	"MAL13P1.45, MAL6P1.235, PF11_0093, PF11_0207, PFB0370C, PFL1215C, PFL2490C"
Cluster 70	"MAL13P1.222, MAL13P1.323, MAL13P1.333, MAL13P1.341, MAL13P1.43, MAL13P1.53, MAL13P1.550, MAL13P1.88, MAL13P1.91, PF07_0083, PF07_0122, PF08_0081, PF08_0099, PF10_0068, PF10_0077, PF10_0087, PF10_0099, PF10_0279, PF11_0053, PF11_0071, PF11_0289, PF13_0293, PF13_0341, PF14_0082, PF14_0136, PF14_0193, PF14_0515, PF14_0616, PF14_0635, PF14_0670, PF14_0677, PFA0480W, PFC0221C, PFD0360W, PFD0875C, PFE1535W, PFF1070C, PFF1435W, PFI0450C, PFL1470C, PFL1820W"
Cluster 71	"MAL6P1.151, MAL6P1.29, PF11_0275, PF11_0393, PF14_0364, PFC0100C, PFC0155C, PFE1140C, PFI0590C, PFL0860C"
Cluster 72	"MAL13P1.385, PF07_0095, PF10_0112, PF10_0197, PF11_0070, PF11_0089, PF11_0201, PF13_0292, PF13_0351, PF14_0274, PF14_0496, PF14_0549, PFD0605C, PFF1355W, PFI0415C, PFL0125C, PFL0985C"
